site,title,title_en,year,reviewer,review,review_length,rating
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,파이,관식이마저 없었을 대다수의 아궁이 앞 삶을 ...,27,4.5
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,DC,염혜란은 그 짧은 분량으로도 정말 경이롭다  단 한 번밖에 안 나올 것 같은 드라마들이 있는데 이 드라마가 그렇다,63,5.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,방구석로맨스전문가,"누군가 목숨 바쳐 지키려던 시인 문학소녀가 결국 아궁이 앞에서 꽃이 꺾였어도, 팥을 뿌리고 때리는 어른들이 있으면 들여다봐주고 챙겨주는 어른들이 있었고, 그렇게 키운 자식이 생채기를 내도 다 부서진 손으로 항상 잡아주는 섬놈이 있어 버텼다. 라이방도,지프차도,육지도,대학도 하고 싶은 거 다 하면서 산 적은 한 번도 없지만 서로의 손을 잡고 전력질주했던 걸 후회한 적 없는 한편의 드라마같은 인생을 산 관식과 애순에게, 폭싹 속았수다.",243,4.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,노노,난 엄마처럼 안 살겠다고 딸들은 한번쯤 생각해봤지 않았을까,32,5.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,콩이,"앙칼진 목소리에 그 삶이 다 담겨있어서 마음이 아려온다  “내게는 허기지기만 하던 유년기가, 그 허름하기만 한 유년기가, 그들이 얼마나 치열하게 만든 요새였는지”",90,5.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,의외로빨리헤엄치는거북이,"4.3 이후 10년 뒤라는 시대 배경이 너무나 이상하다 .... 1960년대부터 시작하기 때문에 4.3을 다루지 않는다는 감독의 말을 듣고 어지러웠다. 4월 3일 하루에 일어난 일이 아니라 7년에 걸쳐서 모든 마을에서 희생자들이 나왔는데 제주에서 봄이 그냥 낭만의 계절일 수가 있나. 심지어 현대극이 아닌 1960년대 시대극에서. 미감으로 역사를 교묘하게 감추기 금지.  생활력 강한 제주 여성상은 갖다 쓰고 싶으면서 그래야 했던 이유는 모조리 지운 드라마. 휴전 직후 외지인에 대한 배척은 서사로 갖다쓰고 싶었지만 그 이유는 또 지운 드라마. ‘제주의 봄’을 표방하지만, 관점은 매우 납작하다. 드라마 자체는 재밌는데 그냥 남쪽 마을 어딘가였으면.  1960년대 제주에서 4.3을 분리시킬 수는 없다.",393,4.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,Luv,"꿈을 꾸는 계절이 아니라, 꿈을 꺾는 계절이었다. 그렇게도 기꺼이  참 이상하게도 부모는 미안했던 것만 사무치고 자식은 서운했던 것만 사무친다  그래서 몰랐다  내게는 허기지기만 하던 유년기가 그 허름하기만 한 유년기가 그들이 얼마나 치열하게 만든 요새였는지  나는 그들의 꿈을 먹고 날아올랐다 엄마의 꿈을 씨앗처럼 품고 엄마의 꿈이 나에게로 왔다 아주 무겁고, 아주 뜨겁게 기어이 날갯소리를 냈다  우리는 서로의 세상이었는데 한쪽은 떠나고 한쪽은 남았다 엄마는 인생에서 가장 달콤하던 비밀친구와의 세상에 남았다",286,5.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,붉은 돼지,"""점복 팔아 버는 백환, 내가 주고 어망 하루를 사고 싶네.""  1화부터 눈물 나게 만드네... 인생 드라마 예감.  ""파혼 하던 날 나는 간첩처럼 울었다.""  대사 미쳤다 ㅋㅋ  완결 후: 이건 드라마가 아니다. 우리 인생이다.",128,5.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,윤작,4화까지 쉴틈없이 보고 바로 별 5개. 드라마가 가져야 할 모든 것.,38,5.0
watcha,폭싹 속았수다,WhenLifeGivesYouTangerines,2025,Annnn,4.3을 도려낸 제주를 더 이상 볼 자신이 없어서,27,2.5
